DateTime,Chennai,Delhi,Hyderabad,Kolkata,hour,date
1/6/16 1:00,20,34,32,41,1,1
1/6/16 2:00,32,43,40,33,2,1
1/6/16 3:00,36,74,39,28,3,1
1/6/16 4:00,27,52,33,18,4,1
1/6/16 5:00,31,46,35,22,5,1
1/6/16 6:00,33,38,35,23,6,1
1/6/16 7:00,27,46,30,30,7,1
1/6/16 8:00,28,38,42,27,8,1
1/6/16 9:00,31,48,43,24,9,1
1/6/16 10:00,27,52,34,22,10,1
1/6/16 11:00,NA,37,54,32,11,1
1/6/16 12:00,NA,34,44,31,12,1
1/6/16 13:00,NA,44,48,25,13,1
1/6/16 14:00,NA,45,61,30,14,1
1/6/16 15:00,NA,36,60,29,15,1
1/6/16 16:00,NA,35,41,37,16,1
1/6/16 17:00,30,44,59,36,17,1
1/6/16 18:00,NA,55,66,40,18,1
1/6/16 19:00,NA,59,54,34,19,1
1/6/16 20:00,NA,70,66,44,20,1
1/6/16 21:00,NA,65,90,31,21,1
1/6/16 22:00,38,36,71,31,22,1
1/6/16 23:00,48,26,68,30,23,1
1/6/16 23:59,39,41,61,29,24,1
2/6/16 1:00,NA,43,47,33,1,2
2/6/16 2:00,NA,47,53,32,2,2
2/6/16 3:00,22,65,38,32,3,2
2/6/16 4:00,24,37,48,29,4,2
2/6/16 5:00,20,34,43,32,5,2
2/6/16 6:00,20,35,39,35,6,2
2/6/16 7:00,NA,32,41,33,7,2
2/6/16 8:00,NA,92,41,23,8,2
2/6/16 9:00,28,68,46,27,9,2
2/6/16 10:00,44,68,40,24,10,2
2/6/16 11:00,35,65,48,31,11,2
2/6/16 12:00,NA,55,41,35,12,2
2/6/16 13:00,NA,44,38,35,13,2
2/6/16 14:00,NA,28,45,43,14,2
2/6/16 15:00,NA,37,37,NA,15,2
2/6/16 16:00,NA,20,52,44,16,2
2/6/16 17:00,NA,29,49,46,17,2
2/6/16 18:00,57,24,48,40,18,2
2/6/16 19:00,25,34,55,41,19,2
2/6/16 20:00,37,50,49,42,20,2
2/6/16 21:00,38,54,41,50,21,2
2/6/16 22:00,24,65,34,44,22,2
2/6/16 23:00,32,64,42,40,23,2
2/6/16 23:59,34,76,31,28,24,2
3/6/16 1:00,29,75,33,27,1,3
3/6/16 2:00,21,96,35,30,2,3
3/6/16 3:00,23,81,32,25,3,3
3/6/16 4:00,14,81,30,26,4,3
3/6/16 5:00,30,118,29,20,5,3
3/6/16 6:00,26,107,31,26,6,3
3/6/16 7:00,26,108,38,37,7,3
3/6/16 8:00,39,122,37,33,8,3
3/6/16 9:00,36,126,45,33,9,3
3/6/16 10:00,56,122,39,34,10,3
3/6/16 11:00,41,99,47,33,11,3
3/6/16 12:00,42,94,53,38,12,3
3/6/16 13:00,42,77,42,39,13,3
3/6/16 14:00,43,58,45,32,14,3
3/6/16 15:00,32,48,44,33,15,3
3/6/16 16:00,31,38,49,35,16,3
3/6/16 17:00,27,63,61,42,17,3
3/6/16 18:00,44,54,78,41,18,3
3/6/16 19:00,47,55,208,38,19,3
3/6/16 20:00,50,74,87,35,20,3
3/6/16 21:00,48,89,65,35,21,3
3/6/16 22:00,56,84,53,37,22,3
3/6/16 23:00,44,97,44,38,23,3
3/6/16 23:59,21,97,37,36,24,3
4/6/16 1:00,20,99,41,33,1,4
4/6/16 2:00,14,89,27,38,2,4
4/6/16 3:00,25,93,28,27,3,4
4/6/16 4:00,30,78,30,25,4,4
4/6/16 5:00,30,76,32,26,5,4
4/6/16 6:00,24,85,27,28,6,4
4/6/16 7:00,36,79,36,18,7,4
4/6/16 8:00,26,115,31,24,8,4
4/6/16 9:00,30,129,33,25,9,4
4/6/16 10:00,27,82,30,28,10,4
4/6/16 11:00,31,70,29,27,11,4
4/6/16 12:00,35,59,37,32,12,4
4/6/16 13:00,34,45,28,30,13,4
4/6/16 14:00,38,48,29,39,14,4
4/6/16 15:00,32,71,41,31,15,4
4/6/16 16:00,32,76,44,34,16,4
4/6/16 17:00,38,42,41,31,17,4
4/6/16 18:00,39,45,40,37,18,4
4/6/16 19:00,46,59,62,27,19,4
4/6/16 20:00,67,71,47,37,20,4
4/6/16 21:00,41,79,38,33,21,4
4/6/16 22:00,29,85,32,31,22,4
4/6/16 23:00,28,62,35,32,23,4
4/6/16 23:59,30,51,42,41,24,4
5/6/16 1:00,17,54,41,36,1,5
5/6/16 2:00,23,65,38,30,2,5
5/6/16 3:00,35,68,42,26,3,5
5/6/16 4:00,29,69,51,28,4,5
5/6/16 5:00,30,68,28,25,5,5
5/6/16 6:00,40,74,30,35,6,5
5/6/16 7:00,42,67,37,25,7,5
5/6/16 8:00,47,60,49,25,8,5
5/6/16 9:00,39,72,38,24,9,5
5/6/16 10:00,37,55,36,20,10,5
5/6/16 11:00,43,60,47,17,11,5
5/6/16 12:00,47,52,53,20,12,5
5/6/16 13:00,37,50,48,24,13,5
5/6/16 14:00,31,58,46,27,14,5
5/6/16 15:00,31,52,45,21,15,5
5/6/16 16:00,31,45,40,22,16,5
5/6/16 17:00,34,42,53,18,17,5
5/6/16 18:00,30,51,66,19,18,5
5/6/16 19:00,44,46,60,25,19,5
5/6/16 20:00,38,56,60,25,20,5
5/6/16 21:00,26,65,65,32,21,5
5/6/16 22:00,25,48,68,30,22,5
5/6/16 23:00,22,54,43,28,23,5
5/6/16 23:59,25,48,52,31,24,5
6/6/16 1:00,5,36,43,27,1,6
6/6/16 2:00,15,36,50,23,2,6
6/6/16 3:00,17,33,40,18,3,6
6/6/16 4:00,20,34,40,17,4,6
6/6/16 5:00,16,36,47,25,5,6
6/6/16 6:00,23,38,34,23,6,6
6/6/16 7:00,27,26,34,23,7,6
6/6/16 8:00,30,27,38,20,8,6
6/6/16 9:00,35,38,36,18,9,6
6/6/16 10:00,29,31,49,19,10,6
6/6/16 11:00,32,33,53,21,11,6
6/6/16 12:00,24,44,47,24,12,6
6/6/16 13:00,28,46,47,29,13,6
6/6/16 14:00,27,69,38,30,14,6
6/6/16 15:00,15,48,51,22,15,6
6/6/16 16:00,24,37,44,21,16,6
6/6/16 17:00,29,43,43,27,17,6
6/6/16 18:00,44,44,45,31,18,6
6/6/16 19:00,35,6,62,40,19,6
6/6/16 20:00,26,36,56,29,20,6
6/6/16 21:00,23,53,47,34,21,6
6/6/16 22:00,18,59,46,35,22,6
6/6/16 23:00,30,53,29,30,23,6
6/6/16 23:59,11,55,46,27,24,6
7/6/16 1:00,4,52,30,31,1,7
7/6/16 2:00,25,50,34,31,2,7
7/6/16 3:00,17,50,35,28,3,7
7/6/16 4:00,7,49,26,25,4,7
7/6/16 5:00,29,50,36,21,5,7
7/6/16 6:00,30,49,34,24,6,7
7/6/16 7:00,40,53,36,34,7,7
7/6/16 8:00,45,59,51,33,8,7
7/6/16 9:00,32,64,54,26,9,7
7/6/16 10:00,35,61,51,35,10,7
7/6/16 11:00,23,68,56,31,11,7
7/6/16 12:00,26,61,43,27,12,7
7/6/16 13:00,30,55,34,30,13,7
7/6/16 14:00,34,38,45,34,14,7
7/6/16 15:00,30,27,28,28,15,7
7/6/16 16:00,36,22,28,36,16,7
7/6/16 17:00,27,18,39,32,17,7
7/6/16 18:00,30,14,43,32,18,7
7/6/16 19:00,28,26,44,26,19,7
7/6/16 20:00,27,31,52,34,20,7
7/6/16 21:00,24,39,73,27,21,7
7/6/16 22:00,23,35,72,32,22,7
7/6/16 23:00,22,37,65,30,23,7
7/6/16 23:59,25,33,65,28,24,7
8/6/16 1:00,10,40,48,26,1,8
8/6/16 2:00,27,42,46,23,2,8
8/6/16 3:00,26,30,43,24,3,8
8/6/16 4:00,24,43,52,20,4,8
8/6/16 5:00,32,49,41,20,5,8
8/6/16 6:00,29,42,51,27,6,8
8/6/16 7:00,39,48,46,34,7,8
8/6/16 8:00,39,57,38,23,8,8
8/6/16 9:00,56,52,36,27,9,8
8/6/16 10:00,43,72,36,38,10,8
8/6/16 11:00,33,60,45,39,11,8
8/6/16 12:00,48,64,47,42,12,8
8/6/16 13:00,42,56,35,27,13,8
8/6/16 14:00,35,54,28,17,14,8
8/6/16 15:00,38,54,30,23,15,8
8/6/16 16:00,43,57,35,26,16,8
8/6/16 17:00,46,65,34,19,17,8
8/6/16 18:00,30,54,NA,30,18,8
8/6/16 19:00,38,55,56,26,19,8
8/6/16 20:00,47,50,52,32,20,8
8/6/16 21:00,33,46,45,29,21,8
8/6/16 22:00,39,50,44,28,22,8
8/6/16 23:00,25,40,43,18,23,8
8/6/16 23:59,21,51,33,21,24,8
9/6/16 1:00,5,60,44,30,1,9
9/6/16 2:00,10,57,37,27,2,9
9/6/16 3:00,13,46,39,24,3,9
9/6/16 4:00,23,49,39,22,4,9
9/6/16 5:00,20,52,31,21,5,9
9/6/16 6:00,24,49,28,20,6,9
9/6/16 7:00,40,47,26,36,7,9
9/6/16 8:00,27,51,30,26,8,9
9/6/16 9:00,42,54,34,25,9,9
9/6/16 10:00,27,61,27,32,10,9
9/6/16 11:00,22,57,36,38,11,9
9/6/16 12:00,15,65,36,37,12,9
9/6/16 13:00,21,57,32,39,13,9
9/6/16 14:00,25,60,28,36,14,9
9/6/16 15:00,37,51,27,43,15,9
9/6/16 16:00,23,60,35,37,16,9
9/6/16 17:00,21,74,27,29,17,9
9/6/16 18:00,30,35,40,31,18,9
9/6/16 19:00,33,29,35,35,19,9
9/6/16 20:00,31,40,40,32,20,9
9/6/16 21:00,25,27,74,31,21,9
9/6/16 22:00,26,47,44,27,22,9
9/6/16 23:00,35,45,38,27,23,9
9/6/16 23:59,30,46,37,33,24,9
10/6/16 1:00,25,48,30,35,1,10
10/6/16 2:00,30,45,46,28,2,10
10/6/16 3:00,26,46,45,41,3,10
10/6/16 4:00,25,39,30,39,4,10
10/6/16 5:00,25,38,35,45,5,10
10/6/16 6:00,35,42,26,41,6,10
10/6/16 7:00,25,42,NA,42,7,10
10/6/16 8:00,21,51,NA,59,8,10
10/6/16 9:00,21,47,NA,66,9,10
10/6/16 10:00,21,47,NA,62,10,10
10/6/16 11:00,18,52,NA,63,11,10
10/6/16 12:00,25,52,45,49,12,10
10/6/16 13:00,29,55,37,48,13,10
10/6/16 14:00,21,68,33,53,14,10
10/6/16 15:00,15,66,27,59,15,10
10/6/16 16:00,25,89,34,58,16,10
10/6/16 17:00,43,84,34,57,17,10
10/6/16 18:00,17,53,47,59,18,10
10/6/16 19:00,31,54,48,57,19,10
10/6/16 20:00,33,52,NA,47,20,10
10/6/16 21:00,33,52,NA,69,21,10
10/6/16 22:00,29,33,NA,64,22,10
10/6/16 23:00,24,36,NA,66,23,10
10/6/16 23:59,23,42,NA,61,24,10
11/6/16 1:00,20,33,NA,53,1,11
11/6/16 2:00,11,44,NA,44,2,11
11/6/16 3:00,23,31,NA,40,3,11
11/6/16 4:00,30,32,NA,37,4,11
11/6/16 5:00,24,32,NA,44,5,11
11/6/16 6:00,32,35,NA,38,6,11
11/6/16 7:00,33,41,NA,37,7,11
11/6/16 8:00,22,32,NA,40,8,11
11/6/16 9:00,20,35,NA,40,9,11
11/6/16 10:00,23,55,NA,39,10,11
11/6/16 11:00,25,33,35,44,11,11
11/6/16 12:00,28,33,42,54,12,11
11/6/16 13:00,26,23,39,47,13,11
11/6/16 14:00,27,22,45,61,14,11
11/6/16 15:00,28,21,37,54,15,11
11/6/16 16:00,23,27,49,53,16,11
11/6/16 17:00,25,30,52,45,17,11
11/6/16 18:00,20,34,27,48,18,11
11/6/16 19:00,41,46,41,53,19,11
11/6/16 20:00,36,48,38,57,20,11
11/6/16 21:00,32,28,40,62,21,11
11/6/16 22:00,28,22,36,52,22,11
11/6/16 23:00,268,21,27,33,23,11
11/6/16 23:59,19,18,27,31,24,11
12/6/16 1:00,88,9,33,29,1,12
12/6/16 2:00,67,16,28,32,2,12
12/6/16 3:00,132,25,NA,32,3,12
12/6/16 4:00,217,25,NA,32,4,12
12/6/16 5:00,165,21,NA,34,5,12
12/6/16 6:00,93,24,NA,32,6,12
12/6/16 7:00,114,16,NA,36,7,12
12/6/16 8:00,34,43,NA,35,8,12
12/6/16 9:00,74,50,NA,40,9,12
12/6/16 10:00,146,46,NA,44,10,12
12/6/16 11:00,25,69,NA,44,11,12
12/6/16 12:00,163,60,NA,44,12,12
12/6/16 13:00,310,52,NA,40,13,12
12/6/16 14:00,282,55,NA,46,14,12
12/6/16 15:00,-15,58,NA,32,15,12
12/6/16 16:00,26,61,NA,30,16,12
12/6/16 17:00,24,62,NA,25,17,12
12/6/16 18:00,67,52,NA,37,18,12
12/6/16 19:00,164,50,NA,28,19,12
12/6/16 20:00,41,58,NA,30,20,12
12/6/16 21:00,56,59,NA,34,21,12
12/6/16 22:00,120,66,NA,25,22,12
12/6/16 23:00,141,58,NA,23,23,12
12/6/16 23:59,106,59,NA,25,24,12
13/6/16 1:00,309,55,NA,24,1,13
13/6/16 2:00,-15,52,NA,23,2,13
13/6/16 3:00,389,55,NA,24,3,13
13/6/16 4:00,39,58,NA,21,4,13
13/6/16 5:00,63,58,NA,19,5,13
13/6/16 6:00,31,56,NA,24,6,13
13/6/16 7:00,190,71,NA,32,7,13
13/6/16 8:00,30,68,NA,23,8,13
13/6/16 9:00,260,50,NA,36,9,13
13/6/16 10:00,36,44,NA,30,10,13
13/6/16 11:00,35,47,NA,30,11,13
13/6/16 12:00,30,56,NA,37,12,13
13/6/16 13:00,51,71,NA,36,13,13
13/6/16 14:00,63,72,27,39,14,13
13/6/16 15:00,24,70,NA,36,15,13
13/6/16 16:00,122,73,NA,28,16,13
13/6/16 17:00,21,83,33,34,17,13
13/6/16 18:00,31,79,38,26,18,13
13/6/16 19:00,43,73,34,31,19,13
13/6/16 20:00,43,65,28,30,20,13
13/6/16 21:00,61,33,31,41,21,13
13/6/16 22:00,44,18,22,38,22,13
13/6/16 23:00,30,20,22,34,23,13
13/6/16 23:59,89,21,19,33,24,13
14/6/16 1:00,23,17,23,38,1,14
14/6/16 2:00,215,20,17,31,2,14
14/6/16 3:00,19,22,NA,27,3,14
14/6/16 4:00,171,19,14,24,4,14
14/6/16 5:00,28,10,19,27,5,14
14/6/16 6:00,38,20,18,15,6,14
14/6/16 7:00,31,21,30,27,7,14
14/6/16 8:00,27,25,24,56,8,14
14/6/16 9:00,24,27,24,65,9,14
14/6/16 10:00,34,24,NA,85,10,14
14/6/16 11:00,39,34,NA,55,11,14
14/6/16 12:00,35,37,34,49,12,14
14/6/16 13:00,27,41,36,54,13,14
14/6/16 14:00,20,51,47,NA,14,14
14/6/16 15:00,32,53,25,53,15,14
14/6/16 16:00,27,49,34,54,16,14
14/6/16 17:00,90,51,29,53,17,14
14/6/16 18:00,34,49,30,52,18,14
14/6/16 19:00,31,54,28,39,19,14
14/6/16 20:00,44,60,40,41,20,14
14/6/16 21:00,44,62,42,45,21,14
14/6/16 22:00,43,70,35,43,22,14
14/6/16 23:00,62,70,39,40,23,14
14/6/16 23:59,30,60,19,47,24,14
15/6/16 1:00,23,83,23,42,1,15
15/6/16 2:00,27,72,25,36,2,15
15/6/16 3:00,18,67,30,45,3,15
15/6/16 4:00,19,56,30,34,4,15
15/6/16 5:00,29,59,31,31,5,15
15/6/16 6:00,27,64,29,35,6,15
15/6/16 7:00,20,64,29,30,7,15
15/6/16 8:00,29,55,32,38,8,15
15/6/16 9:00,30,48,23,38,9,15
15/6/16 10:00,34,56,27,39,10,15
15/6/16 11:00,30,63,30,56,11,15
15/6/16 12:00,24,67,27,54,12,15
15/6/16 13:00,27,65,35,56,13,15
15/6/16 14:00,17,76,31,63,14,15
15/6/16 15:00,24,84,30,56,15,15
15/6/16 16:00,32,79,26,44,16,15
15/6/16 17:00,10,84,27,57,17,15
15/6/16 18:00,11,85,29,47,18,15
15/6/16 19:00,33,77,29,44,19,15
15/6/16 20:00,41,53,42,48,20,15
15/6/16 21:00,35,55,37,47,21,15
15/6/16 22:00,43,52,34,44,22,15
15/6/16 23:00,29,58,31,39,23,15
15/6/16 23:59,32,58,27,42,24,15
16/6/16 1:00,8,67,26,47,1,16
16/6/16 2:00,18,56,27,38,2,16
16/6/16 3:00,23,53,24,41,3,16
16/6/16 4:00,14,53,33,44,4,16
16/6/16 5:00,14,58,36,41,5,16
16/6/16 6:00,24,50,28,36,6,16
