gender,age,class,survived,ticket_pound,ticket_shilling,ticket_penny
Male,41,3rd,FALSE,7,11,0
Male,21,Crew,FALSE,NA,NA,NA
Male,13,3rd,FALSE,20,5,0
Male,16,3rd,FALSE,20,5,0
Female,39,3rd,TRUE,20,5,0
Female,16,3rd,TRUE,7,13,0
Male,25,3rd,TRUE,7,13,0
Male,30,2nd,FALSE,24,0,0
Female,28,2nd,TRUE,24,0,0
Male,45,3rd,FALSE,7,4,6
Female,38,3rd,TRUE,7,4,7
Male,19,3rd,FALSE,7,4,6
Male,27,3rd,TRUE,18,15,9
Male,19,3rd,TRUE,7,18,6
Male,34,Crew,FALSE,NA,NA,NA
Male,30,3rd,FALSE,7,5,0
Male,26,3rd,FALSE,8,1,0
Male,26,Crew,FALSE,NA,NA,NA
Male,20,Crew,FALSE,NA,NA,NA
Female,40,3rd,FALSE,9,9,6
Male,24,3rd,FALSE,7,1,0
Male,41,3rd,FALSE,7,2,6
Male,31,Crew,FALSE,NA,NA,NA
Male,37,Crew,FALSE,NA,NA,NA
Male,0,3rd,TRUE,9,7,0
Female,21,3rd,TRUE,9,7,0
Female,2,3rd,TRUE,19,5,2
Female,5,3rd,TRUE,19,5,2
Female,3,3rd,TRUE,19,5,2
Female,23,3rd,TRUE,19,5,2
Male,19,3rd,FALSE,7,4,7
Male,25,3rd,TRUE,7,4,6
Male,35,Crew,FALSE,13,0,0
Male,24,3rd,FALSE,7,17,9
Male,19,3rd,FALSE,7,18,6
Male,25,3rd,FALSE,7,1,0
Male,22,Crew,FALSE,NA,NA,NA
Female,29,1st,TRUE,211,60,9
Male,24,Crew,TRUE,NA,NA,NA
Male,26,Crew,FALSE,NA,NA,NA
Male,30,Crew,FALSE,NA,NA,NA
Male,35,Crew,FALSE,NA,NA,NA
Male,39,3rd,FALSE,8,1,0
Male,0,1st,TRUE,151,16,0
Female,2,1st,FALSE,151,16,0
Male,30,1st,FALSE,151,16,0
Female,25,1st,FALSE,151,16,0
Male,36,Crew,FALSE,NA,NA,NA
Male,43,Crew,FALSE,NA,NA,NA
Male,17,3rd,FALSE,8,6,0
Female,19,3rd,TRUE,7,17,1
Male,33,3rd,FALSE,22,10,6
Male,42,1st,TRUE,26,11,0
Male,42,Crew,TRUE,NA,NA,NA
Male,50,Crew,FALSE,NA,NA,NA
Male,4,3rd,FALSE,31,5,6
Female,6,3rd,FALSE,31,5,6
Female,2,3rd,FALSE,31,5,6
Female,16,3rd,TRUE,7,18,6
Female,38,3rd,FALSE,7,15,6
Female,9,3rd,FALSE,31,5,6
Female,11,3rd,FALSE,31,5,6
Male,39,3rd,FALSE,31,5,6
Male,26,3rd,FALSE,7,15,6
Female,39,3rd,FALSE,31,5,6
Male,20,3rd,FALSE,7,17,1
Male,17,2nd,FALSE,11,10,0
Male,26,2nd,FALSE,10,10,0
Female,62,1st,TRUE,77,19,2
Male,19,Crew,TRUE,NA,NA,NA
Male,39,1st,FALSE,0,0,0
Male,31,2nd,FALSE,26,0,0
Female,36,2nd,TRUE,26,0,0
Female,53,1st,TRUE,51,9,7
Male,35,Crew,TRUE,NA,NA,NA
Male,25,3rd,FALSE,17,16,0
Female,18,3rd,FALSE,17,16,0
Male,25,3rd,FALSE,7,15,6
Male,71,1st,FALSE,49,10,1
Male,57,2nd,FALSE,13,0,0
Male,26,Crew,FALSE,NA,NA,NA
Male,41,Crew,FALSE,NA,NA,NA
Male,35,3rd,FALSE,7,1,0
Male,26,Crew,FALSE,NA,NA,NA
Male,5,3rd,FALSE,31,7,9
Male,9,3rd,FALSE,31,7,9
Male,3,3rd,TRUE,31,7,9
Male,13,3rd,FALSE,31,7,9
Female,5,3rd,TRUE,31,7,9
Male,40,3rd,FALSE,31,7,9
Male,23,3rd,TRUE,7,15,11
Female,38,3rd,TRUE,31,7,9
Male,23,3rd,FALSE,7,1,0
Male,47,1st,FALSE,247,10,6
Female,18,1st,TRUE,247,10,6
Female,18,3rd,FALSE,14,9,2
Male,27,3rd,FALSE,7,4,6
Male,24,1st,TRUE,69,6,0
Male,23,3rd,FALSE,7,17,1
Male,20,Crew,TRUE,NA,NA,NA
Male,23,Crew,FALSE,NA,NA,NA
Female,15,3rd,TRUE,7,4,7
Male,37,Crew,FALSE,NA,NA,NA
Male,32,3rd,FALSE,15,17,0
Female,33,3rd,TRUE,15,17,0
Female,18,3rd,TRUE,8,1,0
Male,40,3rd,FALSE,7,4,6
Male,28,Crew,TRUE,NA,NA,NA
Male,33,Crew,FALSE,NA,NA,NA
Male,44,Crew,FALSE,NA,NA,NA
Male,46,Crew,FALSE,NA,NA,NA
Male,46,Crew,TRUE,NA,NA,NA
Male,18,2nd,FALSE,11,10,0
Male,22,2nd,FALSE,10,10,0
Male,58,Crew,FALSE,NA,NA,NA
Male,26,3rd,FALSE,7,17,11
Male,18,Crew,TRUE,NA,NA,NA
Female,36,2nd,TRUE,13,0,0
Male,42,2nd,FALSE,13,0,0
Male,24,Crew,FALSE,NA,NA,NA
Male,28,2nd,FALSE,10,10,0
Male,34,Crew,FALSE,NA,NA,NA
Female,18,3rd,FALSE,14,9,1
Female,45,3rd,FALSE,14,9,1
Female,26,Crew,TRUE,78,17,0
Male,19,Crew,FALSE,NA,NA,NA
Male,40,Crew,FALSE,NA,NA,NA
Male,42,Crew,FALSE,NA,NA,NA
Male,47,1st,TRUE,30,0,0
Male,30,Crew,FALSE,NA,NA,NA
Male,39,Crew,FALSE,NA,NA,NA
Male,29,Crew,FALSE,NA,NA,NA
Male,40,Crew,FALSE,NA,NA,NA
Male,39,Crew,FALSE,NA,NA,NA
Male,16,Crew,FALSE,NA,NA,NA
Male,29,Crew,TRUE,NA,NA,NA
Male,33,Crew,FALSE,NA,NA,NA
Male,34,Crew,FALSE,NA,NA,NA
Male,35,Crew,FALSE,NA,NA,NA
Male,32,Crew,FALSE,NA,NA,NA
Female,30,3rd,FALSE,7,17,7
Male,22,3rd,FALSE,8,1,0
Male,26,Crew,FALSE,NA,NA,NA
Male,27,Crew,FALSE,NA,NA,NA
Female,31,Crew,TRUE,76,5,10
Male,52,2nd,FALSE,12,10,6
Male,23,3rd,FALSE,7,17,11
Male,48,1st,FALSE,25,18,6
Male,53,Crew,FALSE,NA,NA,NA
Male,24,1st,FALSE,247,10,5
Male,55,Crew,FALSE,NA,NA,NA
Female,50,1st,TRUE,247,10,5
Male,30,3rd,FALSE,7,4,7
Male,33,Crew,FALSE,NA,NA,NA
Male,32,2nd,TRUE,26,0,0
Female,22,2nd,TRUE,26,0,0
Male,40,Crew,FALSE,NA,NA,NA
Male,36,1st,FALSE,75,4,10
Male,24,Crew,TRUE,NA,NA,NA
Male,43,2nd,FALSE,26,0,0
Male,20,3rd,FALSE,8,1,0
Male,1,2nd,TRUE,39,0,0
Female,4,2nd,TRUE,39,0,0
Female,12,2nd,TRUE,39,0,0
Female,35,2nd,TRUE,39,0,0
Male,37,1st,TRUE,52,11,1
Female,46,1st,TRUE,52,11,1
Male,31,Crew,FALSE,NA,NA,NA
Male,35,Crew,FALSE,NA,NA,NA
Male,19,Crew,FALSE,NA,NA,NA
Male,34,2nd,TRUE,13,0,0
Male,26,1st,TRUE,30,0,0
Male,51,Crew,FALSE,NA,NA,NA
Male,23,Crew,FALSE,NA,NA,NA
Male,26,3rd,FALSE,7,15,6
Male,30,Crew,FALSE,NA,NA,NA
Male,30,Crew,FALSE,NA,NA,NA
Female,33,Crew,TRUE,NA,NA,NA
Female,19,2nd,TRUE,13,0,0
Male,47,Crew,FALSE,NA,NA,NA
Male,22,3rd,FALSE,9,7,0
Male,22,Crew,FALSE,NA,NA,NA
Male,23,2nd,FALSE,13,0,0
Male,31,Crew,FALSE,NA,NA,NA
Male,40,Crew,FALSE,NA,NA,NA
Female,39,Crew,TRUE,63,7,2
Male,40,Crew,FALSE,NA,NA,NA
Male,25,Crew,FALSE,NA,NA,NA
Male,22,Crew,FALSE,NA,NA,NA
Male,31,Crew,FALSE,NA,NA,NA
Female,46,Crew,TRUE,247,10,6
Male,28,Crew,FALSE,NA,NA,NA
Male,20,Crew,FALSE,NA,NA,NA
Male,20,Crew,FALSE,NA,NA,NA
Male,32,3rd,TRUE,56,9,11
Male,20,Crew,TRUE,NA,NA,NA
Female,31,Crew,TRUE,221,15,7
Male,21,3rd,FALSE,7,15,6
Male,24,1st,FALSE,26,0,0
Male,25,1st,TRUE,91,1,7
Male,34,Crew,FALSE,NA,NA,NA
Female,19,1st,TRUE,91,1,7
Male,18,3rd,FALSE,7,15,0
Male,28,1st,TRUE,26,11,0
Male,28,Crew,FALSE,NA,NA,NA
Male,41,Crew,FALSE,NA,NA,NA
Male,23,Crew,FALSE,NA,NA,NA
Male,45,1st,FALSE,35,10,0
Male,17,Crew,FALSE,NA,NA,NA
Male,26,Crew,FALSE,NA,NA,NA
Male,22,Crew,TRUE,NA,NA,NA
Male,37,Crew,FALSE,NA,NA,NA
Male,32,Crew,FALSE,NA,NA,NA
Male,39,1st,TRUE,31,0,0
Male,21,Crew,FALSE,NA,NA,NA
Female,45,Crew,TRUE,NA,NA,NA
Male,26,Crew,FALSE,NA,NA,NA
Male,30,Crew,FALSE,NA,NA,NA
Male,43,Crew,FALSE,NA,NA,NA
Male,59,Crew,FALSE,NA,NA,NA
Male,27,Crew,FALSE,NA,NA,NA
Male,45,Crew,FALSE,NA,NA,NA
Female,30,1st,TRUE,164,17,4
Female,61,1st,TRUE,26,11,0
Male,37,Crew,FALSE,NA,NA,NA
Male,41,1st,FALSE,26,11,0
Male,26,3rd,FALSE,7,17,11
Male,33,Crew,FALSE,NA,NA,NA
Male,25,2nd,FALSE,13,0,0
Male,46,Crew,FALSE,NA,NA,NA
Male,24,Crew,FALSE,NA,NA,NA
Male,18,3rd,FALSE,7,4,6
Female,40,3rd,FALSE,7,15,0
Male,42,3rd,FALSE,15,10,0
Female,32,3rd,FALSE,15,10,0
Female,45,Crew,TRUE,262,7,6
Male,20,3rd,FALSE,16,2,0
Female,22,1st,TRUE,55,0,0
Female,31,Crew,TRUE,NA,NA,NA
Male,28,Crew,TRUE,NA,NA,NA
Male,37,Crew,FALSE,NA,NA,NA
Male,36,Crew,FALSE,NA,NA,NA
Male,30,2nd,FALSE,13,0,0
Female,22,3rd,TRUE,7,14,6
Male,38,Crew,FALSE,NA,NA,NA
Male,28,Crew,FALSE,NA,NA,NA
Male,42,Crew,FALSE,NA,NA,NA
Male,41,1st,FALSE,30,10,0
Female,20,3rd,FALSE,7,17,1
Male,24,Crew,FALSE,0,0,0
Male,48,1st,FALSE,50,9,11
Male,29,3rd,FALSE,7,0,11
Male,22,3rd,FALSE,7,5,0
Male,37,1st,TRUE,26,11,0
Male,45,1st,FALSE,39,12,0
Male,30,Crew,FALSE,NA,NA,NA
Male,52,Crew,FALSE,NA,NA,NA
Male,34,Crew,FALSE,NA,NA,NA
Male,30,Crew,FALSE,NA,NA,NA
Male,42,Crew,TRUE,NA,NA,NA
Male,20,Crew,FALSE,0,0,0
Male,22,Crew,TRUE,NA,NA,NA
Male,42,Crew,TRUE,NA,NA,NA
Male,38,Crew,FALSE,NA,NA,NA
Male,38,Crew,FALSE,NA,NA,NA
Male,40,2nd,FALSE,13,0,0
Male,22,3rd,FALSE,7,15,11
Male,40,3rd,FALSE,8,1,0
Male,28,Crew,FALSE,NA,NA,NA
Male,25,Crew,FALSE,NA,NA,NA
Male,33,Crew,FALSE,NA,NA,NA
Male,31,Crew,FALSE,NA,NA,NA
Female,18,Crew,TRUE,13,0,0
Female,15,2nd,TRUE,39,0,0
Male,34,Crew,TRUE,NA,NA,NA
Male,28,Crew,FALSE,NA,NA,NA
Male,30,Crew,FALSE,NA,NA,NA
Male,60,2nd,FALSE,39,0,0
Male,41,Crew,FALSE,NA,NA,NA
Female,59,1st,TRUE,51,9,7
Female,39,2nd,TRUE,39,0,0
Female,44,1st,TRUE,27,14,5
Female,20,2nd,TRUE,26,0,0
Male,25,2nd,FALSE,26,0,0
Female,23,3rd,FALSE,7,5,8
Male,21,3rd,TRUE,7,15,17
Male,34,Crew,FALSE,NA,NA,NA
Female,58,1st,TRUE,76,5,10
Male,26,Crew,TRUE,NA,NA,NA
Male,36,Crew,FALSE,NA,NA,NA
Male,21,Crew,FALSE,NA,NA,NA
Male,7,3rd,FALSE,15,4,11
Female,10,3rd,FALSE,15,4,11
Female,40,3rd,FALSE,15,4,11
Male,20,Crew,FALSE,NA,NA,NA
Male,18,Crew,TRUE,NA,NA,NA
Male,19,3rd,FALSE,6,15,0
Male,29,Crew,FALSE,NA,NA,NA
Male,39,Crew,TRUE,NA,NA,NA
Female,41,Crew,TRUE,134,10,0
Female,15,3rd,FALSE,7,17,7
Male,29,Crew,FALSE,NA,NA,NA
Male,20,Crew,TRUE,NA,NA,NA
Male,34,Crew,FALSE,NA,NA,NA
Male,35,Crew,FALSE,NA,NA,NA
Female,36,2nd,TRUE,13,0,0
Male,25,2nd,FALSE,13,0,0
Male,21,3rd,FALSE,7,4,7
Male,46,1st,FALSE,26,11,0
Male,21,Crew,FALSE,NA,NA,NA
Male,30,Crew,FALSE,NA,NA,NA
Male,23,Crew,FALSE,NA,NA,NA
Male,42,2nd,FALSE,13,0,0
Male,44,Crew,FALSE,NA,NA,NA
Female,39,2nd,TRUE,13,0,0
Female,21,3rd,FALSE,8,13,3
Female,36,3rd,FALSE,8,13,3
Male,18,3rd,FALSE,8,13,3
Male,38,3rd,FALSE,8,13,3
Male,28,Crew,FALSE,31,0,0
Male,42,1st,TRUE,26,5,9
Male,33,Crew,FALSE,NA,NA,NA
Male,0,2nd,TRUE,29,0,0
Male,26,2nd,TRUE,29,0,0
Female,28,2nd,TRUE,29,0,0
Male,17,3rd,FALSE,8,13,3
Male,17,3rd,FALSE,8,13,3
Female,35,2nd,TRUE,21,0,0
Male,28,Crew,FALSE,NA,NA,NA
Male,20,2nd,FALSE,0,0,0
Female,22,3rd,FALSE,7,15,0
Male,21,3rd,FALSE,7,15,0
Female,52,1st,TRUE,27,8,11
Male,29,3rd,FALSE,8,1,0
Male,40,Crew,FALSE,NA,NA,NA
Male,28,3rd,FALSE,14,9,2
Female,18,3rd,FALSE,14,9,2
Male,19,2nd,FALSE,13,0,0
Male,36,1st,TRUE,512,6,7
Female,58,1st,TRUE,512,6,7
Male,28,3rd,FALSE,7,15,11
Male,24,3rd,FALSE,7,17,1
Male,33,1st,FALSE,5,0,0
Male,31,Crew,FALSE,NA,NA,NA
Female,45,3rd,FALSE,7,15,0
Male,27,Crew,FALSE,NA,NA,NA
Male,17,1st,FALSE,47,2,0
Male,27,1st,FALSE,47,2,0
Male,11,1st,TRUE,120,0,0
Female,14,1st,TRUE,120,0,0
Male,46,Crew,FALSE,NA,NA,NA
Male,36,1st,TRUE,120,0,0
Female,45,2nd,FALSE,26,0,0
Female,36,1st,TRUE,120,0,0
Male,54,2nd,FALSE,26,0,0
Male,33,Crew,FALSE,NA,NA,NA
Male,27,3rd,FALSE,7,5,0
Male,32,Crew,FALSE,NA,NA,NA
Male,49,1st,FALSE,26,0,0
Male,44,Crew,FALSE,NA,NA,NA
Female,36,1st,TRUE,27,14,5
Male,34,Crew,FALSE,NA,NA,NA
Male,37,Crew,FALSE,NA,NA,NA
Female,33,Crew,TRUE,NA,NA,NA
Male,28,Crew,FALSE,NA,NA,NA
Male,39,Crew,FALSE,NA,NA,NA
Male,22,Crew,TRUE,NA,NA,NA
Male,36,1st,FALSE,78,17,0
Female,25,1st,TRUE,78,17,0
Male,21,Crew,FALSE,NA,NA,NA
Male,24,3rd,FALSE,8,1,0
Male,25,Crew,FALSE,NA,NA,NA
Male,46,1st,FALSE,61,3,6
Female,47,1st,TRUE,61,3,6
Male,27,1st,TRUE,53,2,0
Female,32,1st,TRUE,53,2,0
Male,51,2nd,FALSE,13,10,0
Male,37,2nd,FALSE,26,0,0
Male,32,Crew,TRUE,NA,NA,NA
Female,30,2nd,FALSE,26,0,0
Male,25,Crew,FALSE,NA,NA,NA
Male,20,3rd,FALSE,7,14,8
Female,36,Crew,TRUE,262,7,6
Male,24,Crew,FALSE,NA,NA,NA
Female,30,1st,TRUE,86,10,0
Male,27,Crew,FALSE,NA,NA,NA
Male,45,1st,TRUE,29,14,0
Female,48,1st,TRUE,55,0,0
Male,32,3rd,TRUE,56,9,11
Male,43,1st,FALSE,0,0,0
Male,36,Crew,FALSE,NA,NA,NA
Male,28,Crew,FALSE,NA,NA,NA
Male,50,Crew,FALSE,NA,NA,NA
Male,25,Crew,FALSE,NA,NA,NA
Male,29,3rd,FALSE,8,1,0
Male,34,Crew,FALSE,NA,NA,NA
Female,25,2nd,TRUE,30,0,0
Female,52,2nd,TRUE,30,0,0
Male,26,3rd,FALSE,14,9,1
Male,21,3rd,FALSE,14,9,1
Male,27,1st,FALSE,136,15,7
Male,40,Crew,TRUE,NA,NA,NA
Female,26,1st,TRUE,136,15,7
Male,29,2nd,FALSE,26,0,0
Male,28,Crew,FALSE,0,0,0
Female,28,2nd,TRUE,27,0,0
Female,22,Crew,TRUE,151,16,0
Male,33,Crew,TRUE,NA,NA,NA
Male,31,Crew,FALSE,NA,NA,NA
Male,40,1st,FALSE,52,0,0
Male,21,Crew,FALSE,NA,NA,NA
Male,20,3rd,FALSE,7,1,0
Male,19,3rd,TRUE,8,1,0
Male,24,3rd,FALSE,7,5,0
Male,28,Crew,FALSE,NA,NA,NA
Male,57,Crew,FALSE,NA,NA,NA
Male,29,2nd,FALSE,10,10,0
Male,33,Crew,TRUE,NA,NA,NA
Male,27,2nd,FALSE,13,0,0
Male,25,2nd,TRUE,10,10,0
Male,37,1st,FALSE,25,11,9
Male,38,Crew,TRUE,NA,NA,NA
Male,17,Crew,TRUE,NA,NA,NA
Female,8,2nd,TRUE,26,5,0
Male,31,2nd,FALSE,26,5,0
Female,30,2nd,TRUE,26,5,0
Male,34,Crew,TRUE,NA,NA,NA
Female,39,1st,TRUE,83,3,2
Male,37,1st,FALSE,83,3,2
Female,64,1st,TRUE,83,3,2
Male,31,3rd,FALSE,7,14,8
Male,40,3rd,FALSE,7,15,0
Female,23,3rd,TRUE,7,15,0
Female,41,3rd,FALSE,7,12,7
Male,66,3rd,FALSE,7,15,0
Male,25,Crew,FALSE,NA,NA,NA
Male,32,Crew,FALSE,NA,NA,NA
Male,43,3rd,FALSE,8,1,0
Female,22,2nd,TRUE,10,10,0
Male,45,Crew,FALSE,NA,NA,NA
Male,25,Crew,FALSE,NA,NA,NA
Male,26,Crew,FALSE,NA,NA,NA
Male,28,Crew,FALSE,NA,NA,NA
Male,35,3rd,FALSE,7,17,11
Male,27,3rd,FALSE,7,17,11
Male,19,3rd,FALSE,7,17,11
Male,27,Crew,FALSE,NA,NA,NA
Female,30,2nd,FALSE,13,0,0
Male,33,Crew,FALSE,NA,NA,NA
Female,32,2nd,FALSE,21,0,0
Male,19,Crew,FALSE,NA,NA,NA
Male,30,3rd,FALSE,8,1,0
Female,55,1st,TRUE,25,14,10
Female,16,3rd,TRUE,7,15,0
Male,21,2nd,FALSE,11,10,0
Male,35,Crew,FALSE,NA,NA,NA
Male,27,Crew,FALSE,NA,NA,NA
Male,49,Crew,FALSE,NA,NA,NA
Male,30,Crew,TRUE,NA,NA,NA
Male,28,Crew,FALSE,NA,NA,NA
Male,3,3rd,TRUE,15,18,0
Male,9,3rd,TRUE,15,18,0
Female,36,3rd,TRUE,15,18,0
Male,30,Crew,FALSE,NA,NA,NA
Male,58,3rd,FALSE,7,5,0
Male,27,Crew,FALSE,NA,NA,NA
Male,23,Crew,FALSE,NA,NA,NA
Male,20,Crew,TRUE,NA,NA,NA
Male,58,1st,FALSE,26,11,0
Male,43,Crew,TRUE,NA,NA,NA
Male,20,3rd,FALSE,8,3,2
Male,45,Crew,FALSE,NA,NA,NA
Female,16,3rd,TRUE,16,2,0
Male,43,3rd,FALSE,16,2,0
Male,21,Crew,TRUE,NA,NA,NA
Male,39,Crew,FALSE,NA,NA,NA
Male,33,Crew,FALSE,NA,NA,NA
Male,45,Crew,FALSE,NA,NA,NA
Male,70,1st,FALSE,71,0,0
Female,39,1st,TRUE,26,11,0
Female,64,1st,TRUE,71,0,0
Male,44,Crew,FALSE,NA,NA,NA
Male,16,Crew,FALSE,NA,NA,NA
Male,30,Crew,TRUE,NA,NA,NA
Male,35,Crew,FALSE,NA,NA,NA
Male,49,Crew,TRUE,NA,NA,NA
Male,17,3rd,FALSE,8,13,3
Male,39,1st,FALSE,71,5,8
Female,35,1st,TRUE,71,5,8
Male,21,2nd,FALSE,0,0,0
Male,38,Crew,TRUE,NA,NA,NA
Male,35,Crew,FALSE,NA,NA,NA
Male,26,Crew,FALSE,NA,NA,NA
Male,28,3rd,FALSE,7,4,7
Male,45,3rd,TRUE,8,1,0
Female,22,3rd,FALSE,10,10,4
Male,19,3rd,FALSE,10,3,5
Female,33,3rd,TRUE,6,19,0
Male,29,3rd,TRUE,7,15,0
Male,51,1st,TRUE,26,11,0
Male,0,3rd,FALSE,14,8,0
Male,34,3rd,FALSE,14,8,0
Female,28,3rd,FALSE,14,8,0
Male,27,1st,TRUE,30,10,0
Female,36,Crew,TRUE,151,16,0
Male,18,Crew,TRUE,NA,NA,NA
Male,18,Crew,FALSE,NA,NA,NA
Male,31,1st,FALSE,52,0,0
Female,27,1st,TRUE,52,0,0
Male,8,2nd,TRUE,36,15,0
Male,24,3rd,FALSE,24,3,0
Male,19,2nd,FALSE,73,10,0
Male,22,3rd,FALSE,8,1,0
Male,32,Crew,FALSE,NA,NA,NA
Male,22,3rd,FALSE,24,3,0
Male,17,3rd,FALSE,8,1,0
Male,26,Crew,FALSE,NA,NA,NA
Male,33,Crew,FALSE,NA,NA,NA
Female,48,2nd,TRUE,36,15,0
Female,28,2nd,TRUE,13,0,0
Male,27,Crew,FALSE,NA,NA,NA
Male,39,Crew,FALSE,NA,NA,NA
Male,32,3rd,FALSE,16,2,0
Female,34,3rd,TRUE,16,2,0
Male,23,Crew,FALSE,NA,NA,NA
Male,20,Crew,FALSE,NA,NA,NA
Male,36,3rd,TRUE,17,8,0
Female,36,3rd,TRUE,17,8,0
Male,30,3rd,TRUE,9,10,0
Male,16,3rd,FALSE,9,10,0
Male,17,2nd,FALSE,73,10,0
Male,1,3rd,TRUE,20,11,6
Female,0,3rd,TRUE,20,11,6
Male,25,3rd,FALSE,20,11,6
Male,19,Crew,FALSE,NA,NA,NA
Female,32,3rd,TRUE,20,11,6
Male,18,Crew,FALSE,NA,NA,NA
Male,34,Crew,FALSE,NA,NA,NA
Male,29,2nd,FALSE,27,14,5
Female,24,2nd,TRUE,27,14,5
Male,25,3rd,FALSE,7,17,11
Male,25,2nd,FALSE,31,10,0
Male,30,3rd,FALSE,7,17,11
Male,22,3rd,FALSE,7,5,0
Male,26,3rd,FALSE,7,5,0
Male,27,3rd,FALSE,7,17,11
Male,28,Crew,FALSE,NA,NA,NA
Male,38,Crew,FALSE,NA,NA,NA
Male,20,Crew,FALSE,NA,NA,NA
Female,20,3rd,TRUE,7,17,7
